tid,attr_name,rules_left,portion_left
402,marital-status,5,0.5
0,native-country,2,0.2
11,native-country,2,0.2
17,native-country,2,0.2
54,native-country,2,0.2
66,native-country,2,0.2
75,native-country,2,0.2
91,native-country,2,0.2
101,native-country,2,0.2
105,native-country,2,0.2
131,native-country,2,0.2
136,native-country,2,0.2
146,native-country,2,0.2
151,native-country,2,0.2
156,native-country,2,0.2
158,native-country,2,0.2
170,native-country,2,0.2
185,native-country,2,0.2
190,native-country,2,0.2
211,native-country,2,0.2
227,native-country,2,0.2
250,native-country,2,0.2
253,native-country,2,0.2
268,native-country,2,0.2
279,native-country,2,0.2
296,native-country,2,0.2
298,native-country,2,0.2
310,native-country,2,0.2
332,native-country,2,0.2
339,native-country,2,0.2
342,native-country,2,0.2
358,native-country,2,0.2
359,native-country,2,0.2
372,native-country,2,0.2
389,native-country,2,0.2
422,native-country,2,0.2
443,native-country,2,0.2
456,native-country,2,0.2
461,native-country,2,0.2
464,native-country,2,0.2
468,native-country,2,0.2
21,race,4,0.4
37,race,4,0.4
43,race,4,0.4
68,race,4,0.4
74,race,4,0.4
94,race,4,0.4
105,race,4,0.4
108,race,4,0.4
114,race,4,0.4
124,race,4,0.4
129,race,4,0.4
153,race,4,0.4
169,race,4,0.4
172,race,4,0.4
174,race,4,0.4
175,race,4,0.4
178,race,4,0.4
189,race,4,0.4
191,race,4,0.4
196,race,4,0.4
204,race,4,0.4
211,race,4,0.4
212,race,4,0.4
213,race,4,0.4
244,race,4,0.4
253,race,4,0.4
255,race,4,0.4
259,race,4,0.4
264,race,4,0.4
268,race,4,0.4
279,race,4,0.4
281,race,4,0.4
286,race,4,0.4
287,race,4,0.4
291,race,4,0.4
303,race,4,0.4
305,race,4,0.4
334,race,4,0.4
339,race,4,0.4
347,race,4,0.4
350,race,4,0.4
353,race,4,0.4
357,race,4,0.4
372,race,4,0.4
392,race,4,0.4
415,race,4,0.4
419,race,4,0.4
422,race,4,0.4
443,race,4,0.4
456,race,4,0.4
458,race,4,0.4
461,race,4,0.4
462,race,4,0.4
467,race,4,0.4
473,race,4,0.4
487,race,4,0.4
492,race,4,0.4
494,race,4,0.4
5,workclass,3,0.3
19,workclass,3,0.3
30,workclass,3,0.3
33,workclass,3,0.3
45,workclass,3,0.3
48,workclass,3,0.3
57,workclass,3,0.3
61,workclass,3,0.3
67,workclass,3,0.3
102,workclass,3,0.3
111,workclass,3,0.3
112,workclass,3,0.3
119,workclass,3,0.3
128,workclass,3,0.3
140,workclass,3,0.3
148,workclass,3,0.3
163,workclass,3,0.3
179,workclass,3,0.3
187,workclass,3,0.3
202,workclass,3,0.3
208,workclass,3,0.3
219,workclass,3,0.3
230,workclass,3,0.3
233,workclass,3,0.3
240,workclass,3,0.3
252,workclass,3,0.3
258,workclass,3,0.3
265,workclass,3,0.3
266,workclass,3,0.3
268,workclass,3,0.3
298,workclass,3,0.3
299,workclass,3,0.3
305,workclass,3,0.3
308,workclass,3,0.3
331,workclass,3,0.3
344,workclass,3,0.3
348,workclass,3,0.3
389,workclass,3,0.3
406,workclass,3,0.3
413,workclass,3,0.3
419,workclass,3,0.3
420,workclass,3,0.3
421,workclass,3,0.3
430,workclass,3,0.3
431,workclass,3,0.3
438,workclass,3,0.3
444,workclass,3,0.3
449,workclass,3,0.3
450,workclass,3,0.3
453,workclass,3,0.3
460,workclass,3,0.3
480,workclass,3,0.3
486,workclass,3,0.3
487,workclass,3,0.3
494,workclass,3,0.3
